Unnamed: 0,No,Publication,Authors,Year,Type of paper,Journal,Type of study,Pre-prints,DOI,Used?,Partially?,Method,Hybridisation,"1. Objectives (purpose, model outputs, aims of experimentation)","2. Logic (base model overview diagram, base model logic, scenario logic, algorithms, components)","3. Data (data sources, input parameters, preprocessing, assumptions","4. Experimentation (initialisation, run length, estimation approach)","5. Implementation (software and programming language, random sampling, model execution, system specification)",6. Code access (computer model sharing statement),Source code access,Software,Application area,Case study,Note,Appendix,Questions to be asked from authors / experts,...27,Fatemeh's Note
17,17,"Biomechanical finite element analysis of short-implant-supported, 3-unit, fixed CAD/CAM prostheses in the posterior mandible","Zupancic Cepic, Lana, Martin Frank, Andreas Reisinger, Dieter Pahr, Werner Zechner, and Andreas Schedle",2022.0,Journal,International journal of implant dentistry,Empirical,No,https://doi.org/10.1186/s40729-022-00404-8,No,,,,,,,,,,,,,,,,,,
18,18,Priority-based replenishment policy for robotic dispensing in central fill pharmacy systems: a simulation-based study,"Cao, Nieqing, Austin Marcus, Lubna Altarawneh, and Soongeol Kwon",2023.0,Journal,Health Care Management Science,Empirical,No,https://doi.org/10.1007/s10729-023-09630-x,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,Yes,Cannot be shared due to confidential reason,Emulator3D,Healthcare,Replenishment in robotic dispensing pharmacy,,Yes - checklist,,,
19,19,Modeling Patient Flow in an Emergency Department under COVID-19 Pandemic Conditions: A Hybrid Modeling Approach,"Terning, Gaute, Eric Christian Brun, and Idriss El-Thalji",2022.0,Journal,Healthcare,Empirical,No,https://www.mdpi.com/2227-9032/10/5/840/pdf,Yes,Yes,Hybrid,DES+ABS,"Purpose, model outcome","Base model overview diagram, components, algorithms",Yes,Yes,"Software, model execution?",No,,AnyLogic,Healthcare,ED of a hospital in Norway,"They quite used most of the components of STRESS although most of the parts have been found in their Rander's model framework, rather than where they claimed about STRESS",,,,
20,20,The application of modeling and simulation to public health: Assessing the quality of Agent-Based Models for obesity,"Giabbanelli, Philippe J., Boone Tison, and James Keith",2021.0,Journal,SMPT,LR,No,https://doi.org/10.1016/j.simpat.2020.102268,No,,,,,,,,,,,,,,,,,,
21,21,A framework for considering the utility of models when facing tough decisions in public health: a guideline for policy-makers,"Jason Thompson, Roderick McClure, Nick Scott, Margaret Hellard, Romesh Abeysuriya, Rajith Vidanaarachchi, John Thwaites, Jeffrey V. Lazarus, John Lavis, Susan Michie, Chris Bullen, Mikhail Prokopenko, Sheryl L. Chang, Oliver M. Cliff, Cameron Zachreson, Antony Blakely, Tim Wilson, Driss Ait Ouakrim & Vijay Sundararajan",2022.0,Journal,Health Research Policy and Systems,Conceptual,No,https://doi.org/10.1186/s12961-022-00902-6,No,,,,,,,,,,,,,,,,,,
22,22,A simulation modelling toolkit for organising outpatient dialysis services during the COVID-19 pandemic,"Allen, Michael, Amir Bhanji, Jonas Willemsen, Steven Dudfield, Stuart Logan, and Thomas Monks",2020.0,Journal,Plos one,Empirical,No,https://doi.org/10.1371/,Yes,Yes,DES,,All but aims of experimentations,"Base model logic and diagram, scenario logic, algorithms","Data sources, input parameters",Estimation approach,"Software, system specification",Yes,Yes,Python (Simpy),Healthcare,To stress-test plans for dialysis provision throughout COVID-19 in the South of England,,,,,
23,23,Applying Discrete Event Simulation to Reduce Patient Wait Times and Crowding: The Case of a Specialist Outpatient Clinic with Dual Practice System,"Fun, Weng Hong, Ee Hong Tan, Ruzelan Khalid, Sondi Sararaks, Kar Foong Tang, Iqbal Ab Rahim, Shakirah Md. Sharif, Suhana Jawahir, Raoul Muhammad Yusof Sibert, and Mohd Kamal Mohd Nawawi",2022.0,Journal,Healthcare,Empirical,No,https://doi.org/10.3390/healthcare10020189,Yes,Yes,DES,,Yes,Yes,Yes,Run length,"Software, random sampling,",No,,Flexim,Healthcare,Outpatient clinic,,Yes,,,
24,24,The value of triage during periods of intense COVID-19 demand: Simulation modeling study,"Wood, Richard M., Adrian C. Pratt, Charlie Kenward, Christopher J. McWilliams, Ross D. Booton, Matthew J. Thomas, Christopher P. Bourdeaux, and Christos Vasilakis",2021.0,Journal,Medical Decision Making,Empirical,No,https://doi.org/10.1177/0272989X21994035,Yes,Yes,DES,,Yes,"Base model diagram, base model logic, scenario logic, algorithms",Yes,Yes,Yes,Yes,Yes,R,Healthcare,Prioritising patient for triage,,Yes,,,
25,25,COVID-19 scenario modelling for the mitigation of capacity-dependent deaths in intensive care,"Wood, Richard M., Christopher J. McWilliams, Matthew J. Thomas, Christopher P. Bourdeaux, and Christos Vasilakis",2020.0,Journal,Health Care Management Science,Empirical,No,https://doi.org/10.1007/s10729-020-09511-7,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,R,Healthcare,COVID-19 patinents' admission process,The STRESS study is fully used but not cited - however showed up in the cited results!! Confusing!!!,Yes - checklist,,,
26,26,Pitfalls and potentials in simulation studies: Questionable research practices in comparative simulation studies allow for spurious claims of superiority of any method,"Pawel, Samuel, Lucas Kook, and Kelly Reeve",2022.0,Journal,Biometrical Journal,Discussion,No,https://doi.org/10.1002/bimj.202200091,No,,,,,,,,,,,,,,,,,,
27,27,"Automatic reuse, adaption, and execution of simulation experiments via provenance patterns","Wilsdorf, Pia, Anja Wolpers, Jason Hilton, Fiete Haack, and Adelinde Uhrmacher",2023.0,Journal,ACM Transactions on Modeling and Computer Simulation,Discussion,No,https://doi.org/10.1145/3564928,No,,,,,,,,,,,,,,,,,,
28,28,The Safer Nursing Care Tool as a guide to nurse staffing requirements on hospital wards: observational and modelling study,"Griffiths P, Saville C, Ball JE, Chable R, Dimech A, Jones J, Jeffrey Y, Pattison N, Saucedo AR, Sinden N, Monks T",2020.0,Journal,Health and Social Care Delivery Research,Empirical,No,https://europepmc.org/article/MED/32223117/NBK555320#free-full-text,Yes,,ABS,,Yes,Yes,Yes,Yes,Yes,Yes,Cannot be accessed anymore!,AnyLogic,Healthcare,Nurse staffing,,Yes,,,
29,29,Modeling the recovery of elective waiting lists following COVID-19: scenario projections for England,"Howlett, Nicholas C., and Richard M. Wood",2022.0,Journal,Value in Health,Empirical,No,https://doi.org/10.1016/j.jval.2022.06.016,Yes,Yes,DES,,Yes,Yes,All but assumptions,Yes,Yes,Yes,Upon request,R,Healthcare,Elective COVID-19 waiting lists,,Yes - checklist,,,
30,30,Using discrete event simulation to explore food wasted in the home,"Kandemir, Cansu, Christian Reynolds, Quested Tom, Karen Fisher, Rachel Devine, Estelle Herszenhorn, SC Lenny Koh, and David Evans",2022.0,Journal,Journal of Simulation,Empirical,No,https://doi.org/10.1080/17477778.2020.1829515,Yes,Yes,DES,,"Purpose, model outputs",Yes,All but preprocessing,Yes,All but model execution,Yes,Yes,Arena,Food industry,Household food waste,,,,,
31,31,"Automatic reuse, adaption, and execution of simulation experiments via provenance patterns","Wilsdorf, Pia, Anja Wolpers, Jason Hilton, Fiete Haack, and Adelinde Uhrmacher",2023.0,Journal,ACM Transactions on Modeling and Computer Simulation,Discussion,No,https://doi.org/10.1145/3564928,DP,,,,,,,,,,,,,,,,,,
32,32,Costs and consequences of using average demand to plan baseline nurse staffing levels: a computer simulation study,"Saville, Christina, Thomas Monks, Peter Griffiths, and Jane Elisabeth Ball",2021.0,Journal,BMJ quality & safety,Empirical,No,https://doi.org/10.1136/bmjqs-2019-010569,Yes,,ABS,,Yes,Yes,Yes,Yes,Yes,Yes,Upon request,AnyLogic,Healthcare,Nurse staffing,,Yes,,,
33,33,Improving the usability of open health service delivery simulation models using Python and web apps,"Monks, Thomas, and Alison Harper",2023.0,Journal,NIHR Open Research,Empirical,No,https://doi.org/10.3310%2Fnihropenres.13467.1,No,,,,,,,,,,,,,,,,,,
34,34,Relating simulation studies by provenance Developing a family of Wnt signaling models,"Budde, Kai, Jacob Smith, Pia Wilsdorf, Fiete Haack, and Adelinde M. Uhrmacher",2021.0,Journal,PLOS Computational Biology,Empirical,No,https://doi.org/10.1371/journal.pcbi.1009227,No,,,,,,,,,,,,,,,,,,
35,35,FACS-CHARM: A Hybrid Agent-Based and Discrete-Event Simulation Approach for Covid-19 Management at Regional Level,"Anagnostou A, Groen D, Taylor SJ, Suleimenova D, Abubakar N, Saha A, Mintram K, Ghorbani M, Daroge H, Islam T, Xue Y",2022.0,Conference,Winter Simulation Conference,Empirical,No,https://doi.org/10.1109/WSC57314.2022.10015462,No,,,,,,,,,,,,,,,,,,
36,36,Integrated master surgery and outpatient clinic scheduling,"Bovim, Thomas Reiten, Anita Abdullahu, Henrik Andersson, and Anders N. Gullhav",2022.0,Journal,Operations Research for Health Care,Empirical,No,https://doi.org/10.1016/j.orhc.2022.100358,Yes,Yes,DES,,Yes,Yes,Input parameters,"Initialisation, run length",Yes,No,,Python (Simpy),Healthcare,Outpatient clinic scheduling,,Yes,,,
37,37,Climate change adaptation in rural South Africa: Using stakeholder narratives to build system dynamics models in data-scarce environments,"Carnohan, Shane A., Jai K. Clifford-Holmes, Hugo Retief, Ursula S. McKnight, and Sharon Pollard",2020.0,Journal,Journal of Simulation,Empirical,No,https://doi.org/10.1080/17477778.2020.1762516,Yes,,SD,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Stella,Water resources management,Climate change adaption,,Yes,,,
38,38,Towards generic modelling of hospital wards: Reuse and redevelopment of simple models,"Penn, Marion L., Thomas Monks, Anna A. Kazmierska, and M. R. A. R. Alkoheji",2020.0,Journal,Journal of Simulation,Empirical,No,https://doi.org/10.1080/17477778.2019.1664264,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Simul8,Healthcare,Hospital wards (generic model),,Yes,,,
39,39,"Agent-based model of the Russian banking system: Calibration for maturity, interest rate spread, credit risk, and capital regulation","Ermolova, Maria, Andrey Leonidov, Vladimir Nechitailo, Henry Penikas, Nikolay Pilnik, and Ekaterina Serebryannikova",2021.0,Journal,Journal of Simulation,Empirical,No,https://doi.org/10.1080/17477778.2020.1774430,No,,,,,,,,,,,,,,,,,,
40,40,"Microsimulation model for prevention and intervention of coloretal cancer in China (MIMIC-CRC): development, calibration, validation, and application","Lu, Bin, Le Wang, Ming Lu, Yuhan Zhang, Jie Cai, Chenyu Luo, Hongda Chen, and Min Dai",2022.0,Journal,Frontiers in Oncology,Empirical,No,https://doi.org/10.3389/fonc.2022.883401,Yes,Yes,Microsimulation,,Yes,All but components and algorithms,All but preprocessing,Yes,software and programming language,No,,R,Healthcare,Cancer screnning,Not quite sure about the simulation model,Yes,,,
41,41,In silico structure-based designers of therapeutic targets for diabetes mellitus or obesity: A protocol for systematic review,"Gomes, Ana Francisca Teixeira, Wendjilla Fortunato de Medeiros, Gerciane Silva de Oliveira, Isaiane Medeiros, Juliana Kelly da Silva Maia, Ingrid Wilza Leal Bezerra, Grasiela Piuvezam, and Ana Heloneida de Araújo Morais",2022.0,Journal,Plos one,LR,No,https://doi.org/10.1371/journal.pone.0279039,No,,,,,,,,,,,,,,,,,,
42,42,Insights into the computer-aided drug design and discovery based on anthraquinone scaffold for cancer treatment: A systematic review,"Chua, Hui Ming, Said Moshawih, Nurolaini Kifli, Hui Poh Goh, and Long Chiau Ming",2024.0,Journal,Plos one,LR,No,https://doi.org/10.1371/journal.pone.0301396,No,,,,,,,,,,,,,,,,,,
43,43,A framework for conceptualising hybrid system dynamics and agent-based simulation models,"Howick, Susan, and Itamar Megiddo",2024.0,Journal,European Journal of Operational Research,Empirical,No,https://doi.org/10.1016/j.ejor.2024.01.027,No,,,,,,,,,,,,,,,,,,
44,44,Computer model and code sharing practices in healthcare discrete-event simulation: a systematic scoping review,"Monks, Thomas, and Alison Harper",2023.0,Journal,Journal of Simulation,LR,No,https://doi.org/10.1080/17477778.2023.2260772,No,,,,,,,,,,,,,,,,,,
45,45,Capacity and patient flow planning in post-term pregnancy outpatient clinics: a computer simulation modelling study,"Viana, Joe, Tone Breines Simonsen, Hildegunn E. Faraas, Nina Schmidt, Fredrik A. Dahl, and Kari Flo",2020.0,Journal,BMC Health Services Research,Empirical,No,https://doi.org/10.1186/s12913-020-4943-y,Yes,,Hybrid,ABS+DES,"Purpose, model outcomes","Base model diagram and logic, components",Yes,Yes,All but system spec,No,,R,Healthcare,Patient flow planning,,,,,
46,46,Aiding the development of the conceptual model for hybrid simulation: Representing the modelling frame,"Jones, William, Kathy Kotiadis, Jesse R. OHanley, and Stewart Robinson",2022.0,Journal,Journal of the Operational Research Society,Conceptual,No,https://doi.org/10.1080/01605682.2021.2018368,No,,,,,,,,,,,,,,,,,,
47,47,Tutorial on agent-based modeling and simulation: ABM design for the zombie apocalypse,"Macal, Charles M",2018.0,Conference,Winter Simulation Conference,Tutorial on ABM,No,https://doi.org/10.1109/WSC.2018.8632240,No,,,,,,,,,,,,,,,,,,
48,48,A simulation-optimization approach for measuring emergency department resilience in times of crisis,"Farahi, Sorour, and Khodakaram Salimifard",2021.0,Journal,Operations Research for Health Care,Empirical,No,https://doi.org/10.1016/j.orhc.2021.100326,Yes,Yes,DES,,Yes,Yes,Yes,Yes,All but software,No,,?,Healthcare,ED,,,,,
49,49,"Context, Composition, Automation, and Communication - The C2AC Roadmap for Modeling and Simulation","Uhrmacher AM, Frazier P, Hahnle R, Klugl F, Lorig F, Ludascher B, Nenzi L, Ruiz-Martin C, Rumpe B, Szabo C, Wainer G.",2023.0,Journal,ACM Transactions on Modeling and Computer Simulation,Discussion,No,https://doi.org/10.1145/3673226,No,,,,,,,,,,,,,,,,,,
50,50,Development and application of simulation modelling for orthopaedic elective resource planning in England,"Harper A, Monks T, Wilson R, Redaniel MT, Eyles E, Jones T, Penfold C, Elliott A, Keen T, Pitt M, Blom A",2023.0,Journal,BJM,Empirical,No,https://doi.org/10.1136/bmjopen-2023-076221,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Python,Healthcare,Orthopaedic resource planning,,,,,
51,51,Intubation Biomechanics: Clinical Implications of Computational Modeling of Intervertebral Motion and Spinal Cord Strain during Tracheal Intubation in an Intact Cervical Spine ,"Gadomski, Benjamin C., Bradley J. Hindman, Mitchell I. Page, Franklin Dexter, and Christian M. Puttlitz",2021.0,Journal,Anesthesiology,Empirical,No,https://doi.org/10.1097/ALN.0000000000004024,Yes,Yes,?,,,,,,,,,ABAQUS,Biomechanics,Motion and spinal cord strain,"They just claimed the use of guideline, I did not find evidence of using",,,,
52,52,Agent-based modeling and simulation for business and management: a review and tutorial,"Onggo, Bhakti Stephan, and Joel Foramitti",2021.0,Journal,Winter Simulation Conference,LR,No,https://doi.org/10.1109/WSC52266.2021.9715352,No,,,,,,,,,,,,,,,,,,
53,53,The impact of scaling up cervical cancer screening and treatment services among women living with HIV in Kenya: a modelling study,"Perez-Guzman, Pablo Noel, Michael Hoonbae Chung, Hugo De Vuyst, Shona Dalal, Kennedy K. Mutai, Karanja Muthoni, Bartilol Kigen, Nduku Kilonzo, Timothy B. Hallett, and Mikaela Smit",2020.0,Journal,BJM,Empirical,No,https://doi.org/10.1136/bmjgh-2019-001886,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Upon request,C++,Healthcare,Screening disease,,Yes - checklist,,,
54,54,Exploratory analysis using discrete event simulation modelling of the wait times and service costs associated with the maximum wait time guarantee policy applied in a rheumatology central intake clinic,"Tagimacruz, Toni, Monica Cepoiu-Martin, and Deborah A. Marshall",2023.0,Journal,Health Systems,Empirical,No,https://doi.org/10.1080/20476965.2023.2219293,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,No,,Arena,Healthcare,Rheumatology patient flow,,,,,
55,55,Theory development via replicated simulations and the added value of standards,"Hauke, Jonas, Sebastian Achter, and Matthias Meyer",2020.0,Journal,The journal of artificial societies and social simulation,Replication,No,https://doi.org/10.15480/882.2679,No,,,,,,,,,,,,,,,,,,
56,56,Addressing the diagnostic gap in hypertension through possible interventions and scale-up: A microsimulation study,"Koeppel, L., Dittrich, S., Brenner Miguel, S., Carmona, S., Ongarello, S., Vetter, B., Cohn, J.E., Baernighausen, T., Geldsetzer, P., Denkinger, C.M. and HPACC Consortium",2022.0,Journal,Plos Medicine,Empirical,No,https://doi.org/10.1371/journal.pmed.1004111,Yes,,Microsimulation,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Python,Healthcare,Screening disease,,Yes - checklist,,,
57,57,What Is Cognitive Operations?,Katsikopoulos,2023.0,Book,Cognitive Operations: Models that Open the Black Box and Predict our Decisions,Book chapter,No,,No,,,,,,,,,,,,,,,,,,
58,58,Designing a Data Science simulation with MERITS: A Primer,"Elliott, Corrine F., James Duncan, Tiffany M. Tang, Merle Behr, Karl Kumbier, and Bin Yu",2024.0,Preprint,arXiv,Guideline for simulation in DS,Yes,https://doi.org/10.48550/arXiv.2403.08971,No,,,,,,,,,,,,,,,,,,
59,59,"Crisis, what crisis-does reproducibility in modeling & simulation really matter?","Taylor, Simon JE, Tillal Eldabi, Thomas Monks, Markus Rabe, and Adelinde M. Uhrmacher",2018.0,Conference,Winter Simulation Conference,Discussion,No,https://doi.org/10.1109/WSC.2018.8632232,No,,,,,,,,,,,,,,,,,,
60,60,System dynamics models of depression at the population level: a scoping review,"Graham, Eva, Genevieve Gariepy, and Heather Orpana",2023.0,Journal,Health Research Policy and Systems,LR,No,https://doi.org/10.1186/s12961-023-00995-7,No,,,,,,,,,,,,,,,,,,
61,61,A survey on agent-based modelling assisted by machine learning,"Platas Lopez, Alejandro, Alejandro Guerra Hernandez, Marcela Quiroz Castellanos, and Nicandro Cruz Ramirez",2023.0,Journal,Expert Systems,LR,No,https://doi.org/10.1111/exsy.13325,No,,,,,,,,,,,,,,,,,,
62,62,Replicability of simulation studies for the investigation of statistical methods: the RepliSims project,"Luijken K, Lohmann A, Alter U, Claramunt Gonzalez J, Clouth FJ, Fossum JL, Hesen L, Huizing AH, Ketelaar J, Montoya AK, Nab L.",2024.0,Journal,Royal Society Open Science,Empirical - replication,No,https://doi.org/10.1098/rsos.231003,No,,,,,,,,,,,,,,,,,,
63,63,Impact of Record-Linkage Errors in Covid-19 Vaccine-Safety Analyses using German Health-Care Data: A Simulation Study,"Denz, Robin, Katharina Meiszl, Peter Ihle, Doris Oberle, Ursula Drechsel-Bäuerle, Katrin Scholz, Ingo Meyer, and Nina Timmesfeld",2023.0,Preprint,arXiv,Empirical - replication,Yes,https://doi.org/10.48550/arXiv.2310.15016,Yes,Yes,Monte-Carlo simulation,,"Purpose, model output",Base model logic,"Input parameters, assumpotions","Run length, estimation approach",Software,No,,R,Healthcare,,It seems they found STRESS-DES closer to MonteCarlo documentation,,,,
64,64,Modelling a Computed Tomography service using mixed Operational Research methods,"Conlon, Mary, and Owen Molloy",2023.0,Journal,Journal of Simulation ,Empirical - replication,No,https://doi.org/10.1080/17477778.2022.2152394,Yes,,DES,,,,,,,,,,Healthcare,Computed Tomography service,To be discussed with supervisors: Should we ask for the supplemntary material from the authors?,,,,
65,65,A framework to share healthcare simulations on the web using free and open source tools and Python,"Harper, Alison, and Thomas Monks",2023.0,Workshop,Proceedings of the Operational Research Society Simulation Workshop,Empirical - replication,No,https://doi.org/10.36819/SW23.030,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Python,Healthcare,Treatment centre,,Yes - checklist with description,,,
